condition,label,seed,class_id,learning_order,mse
cl_no_replay,"CL, no replay",42,7,1,0.016182800754904747
cl_no_replay,"CL, no replay",42,0,2,0.03991148620843887
cl_no_replay,"CL, no replay",42,2,3,0.038285993039608
cl_no_replay,"CL, no replay",42,3,4,0.02917342446744442
cl_no_replay,"CL, no replay",42,4,5,0.019508250057697296
cl_no_replay,"CL, no replay",42,5,6,0.030775314196944237
cl_no_replay,"CL, no replay",42,6,7,0.03510795906186104
cl_no_replay,"CL, no replay",42,8,8,0.02738594450056553
cl_no_replay,"CL, no replay",42,9,9,0.010789288207888603
cl_no_replay,"CL, no replay",43,1,0,0.009281763806939125
cl_no_replay,"CL, no replay",43,7,1,0.016942910850048065
cl_no_replay,"CL, no replay",43,0,2,0.04366719722747803
cl_no_replay,"CL, no replay",43,2,3,0.042020589113235474
cl_no_replay,"CL, no replay",43,3,4,0.030686575919389725
cl_no_replay,"CL, no replay",43,4,5,0.020209603011608124
cl_no_replay,"CL, no replay",43,5,6,0.033724524080753326
cl_no_replay,"CL, no replay",43,6,7,0.037012238055467606
cl_no_replay,"CL, no replay",43,8,8,0.028389012441039085
cl_no_replay,"CL, no replay",43,9,9,0.010974210686981678
cl_no_replay,"CL, no replay",44,1,0,0.009263337589800358
cl_no_replay,"CL, no replay",44,7,1,0.01621563546359539
cl_no_replay,"CL, no replay",44,0,2,0.040037136524915695
cl_no_replay,"CL, no replay",44,2,3,0.039269573986530304
cl_no_replay,"CL, no replay",44,3,4,0.029874509200453758
cl_no_replay,"CL, no replay",44,4,5,0.02003510296344757
cl_no_replay,"CL, no replay",44,5,6,0.03200017660856247
cl_no_replay,"CL, no replay",44,6,7,0.03316372632980347
cl_no_replay,"CL, no replay",44,8,8,0.0274296123534441
cl_no_replay,"CL, no replay",44,9,9,0.010728966444730759
cl_no_replay,"CL, no replay",45,1,0,0.009093672037124634
cl_no_replay,"CL, no replay",45,7,1,0.016999032348394394
cl_no_replay,"CL, no replay",45,0,2,0.04118489474058151
cl_no_replay,"CL, no replay",45,2,3,0.0385109968483448
cl_no_replay,"CL, no replay",45,3,4,0.030165962874889374
cl_no_replay,"CL, no replay",45,4,5,0.020082704722881317
cl_no_replay,"CL, no replay",45,5,6,0.03296712785959244
cl_no_replay,"CL, no replay",45,6,7,0.03247562423348427
cl_no_replay,"CL, no replay",45,8,8,0.027227217331528664
cl_no_replay,"CL, no replay",45,9,9,0.010725789703428745
